t,B,N
0.056794646,0.218764178,0.00530689
1.040404352,0.249543342,0.014423603
2.560726846,0.28818065,0.028276033
3.638477806,0.320565203,0.037367441
4.80629152,0.358771897,0.046720266
5.929073857,0.383635447,0.054036955
7.051856194,0.410295994,0.060388381
8.174638531,0.425115989,0.065871072
9.297420868,0.438650255,0.070523636
10.4202032,0.44783454,0.074403991
11.54298554,0.457709682,0.077608662
12.10437671,0.461377679,0.078940724
13.22715905,0.467034117,0.081199438
14.34994138,0.470586282,0.082975521
15.47272372,0.472613333,0.084326888
19.96385307,0.471049608,0.086952402
21.0866354,0.469485883,0.086971707
25.57776475,0.462806268,0.086971707
26.70054709,0.461281153,0.086604908
53.085932,0.45243935,0.085272846
54.20871434,0.45243935,0.085272846
72.17323173,0.452651707,0.085272846
73.29601407,0.452651707,0.085272846
74.4187964,0.452651707,0.085272846
87.89218445,0.452651707,0.085272846
89.01496678,0.452651707,0.085272846
90.13774912,0.452651707,0.085272846
91.26053146,0.452651707,0.085272846
92.38331379,0.452651707,0.085272846
93.50609613,0.452651707,0.085272846
94.62887847,0.452651707,0.085272846
95.75166081,0.452651707,0.085272846
96.87444314,0.452651707,0.085272846
97.99722548,0.452651707,0.085272846
99.12000782,0.452651707,0.085272846
100.1152013,0.452613097,0.085272846
