t,B,N
0.056794646,0.218764178,0.00530689
4.80629152,0.358771897,0.046720266
9.297420868,0.438650255,0.070523636
12.10437671,0.461377679,0.078940724
18.84107073,0.472362365,0.086546992
19.96385307,0.471049608,0.086952402
22.20941774,0.467825632,0.086971707
27.82332943,0.459929786,0.086546992
32.87584994,0.455450968,0.085948529
36.24419695,0.453906548,0.085697561
40.7353263,0.452709623,0.085272846
45.22645565,0.45243935,0.085272846
49.71758499,0.452226992,0.085272846
54.20871434,0.45243935,0.085272846
59.82262603,0.452651707,0.085272846
63.19097304,0.452651707,0.085272846
68.80488472,0.452651707,0.085272846
72.17323173,0.452651707,0.085272846
77.78714342,0.452651707,0.085272846
81.15549043,0.452651707,0.085272846
86.76940211,0.452651707,0.085272846
90.13774912,0.452651707,0.085272846
95.75166081,0.452651707,0.085272846
96.87444314,0.452651707,0.085272846
97.99722548,0.452651707,0.085272846
99.12000782,0.452651707,0.085272846
100.1152013,0.452613097,0.085272846
